"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"25","We believe we have hit the ""apex"" — and the apex is a plateau.

We are not out of the woods.

We are still seeing n… https://t.co/PbpM6SEBfI",FALSE,23436,NA,2020-04-11 15:51:08,TRUE,NA,"1249002049674653699",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",3985,FALSE,FALSE,NA,NA
"26","We lost an additional 783 New Yorkers yesterday.

These are staggering numbers.

Behind this number are individuals… https://t.co/4hFcKc8D7B",FALSE,17029,NA,2020-04-11 15:43:08,TRUE,NA,"1249000036857413632",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",2730,FALSE,FALSE,NA,NA
"27","Holding a briefing with updates on #Coronavirus. WATCH LIVE: https://t.co/dlKMfGBOav",FALSE,1795,NA,2020-04-11 15:39:53,FALSE,NA,"1248999217055404032",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","NYGovCuomo",557,FALSE,FALSE,NA,NA
"28","Closed captioning and ASL interpretation is available at https://t.co/YjzHnxHPvN",FALSE,141,"NYGovCuomo",2020-04-11 15:35:37,FALSE,"1248997823917375488","1248998144953679873","232268199","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",25,FALSE,FALSE,NA,NA
"29","I will be giving my daily #Coronavirus briefing at 11:30AM ET. Watch here: https://t.co/Fq5qEEPt23",FALSE,2905,NA,2020-04-11 14:33:09,FALSE,NA,"1248982423787970562",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",536,FALSE,FALSE,NA,NA
"30","“Now this is not the end. It is not even the beginning of the end. But it is, perhaps, the end of the beginning.” —Winston Churchill",FALSE,40273,NA,2020-04-10 19:04:26,FALSE,NA,"1248688307510431747",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",6622,FALSE,FALSE,NA,NA
"31","We are asking you to stay home — it's How You Save A Life.

#NewYorkTough https://t.co/2xR1UKYQ8Y",FALSE,12819,NA,2020-04-10 16:27:16,FALSE,NA,"1248648753973800962",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NYGovCuomo",3761,FALSE,FALSE,NA,NA
"32","Reopening NYS will be a gradual process and it all comes down to testing.

We developed an antibody test but we nee… https://t.co/IWHwfwNxKb",FALSE,49364,NA,2020-04-10 15:59:57,TRUE,NA,"1248641879064936448",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",9602,FALSE,FALSE,NA,NA
"33","Saying thanks is nice. Providing assistance is better. 
 
I’m working with NY's Congressional delegation to create… https://t.co/j6tEaEkG4q",FALSE,10059,NA,2020-04-10 15:53:14,TRUE,NA,"1248640191423746048",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",1567,FALSE,FALSE,NA,NA
"34","No one should go hungry because of this pandemic.

NYS will provide $200 million in emergency food assistance to mo… https://t.co/Tx5p3wwGeQ",FALSE,9229,NA,2020-04-10 15:46:14,TRUE,NA,"1248638429467992067",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",1811,FALSE,FALSE,NA,NA
"35","We continue to endure great pain as we lost 777 New Yorkers yesterday.

We feel this loss deeply as a state, commun… https://t.co/jaT1XQWJrv",FALSE,13763,NA,2020-04-10 15:43:47,TRUE,NA,"1248637810212515841",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",2018,FALSE,FALSE,NA,NA
"36","We are cautiously optimistic that we are slowing the spread.

The change in daily ICU admissions was a negative num… https://t.co/LwAbJFqR5d",FALSE,9578,NA,2020-04-10 15:38:50,TRUE,NA,"1248636566014234627",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",1297,FALSE,FALSE,NA,NA
"37","Closed captioning and ASL interpretation is available at https://t.co/YjzHnxHPvN",FALSE,236,"NYGovCuomo",2020-04-10 15:35:44,FALSE,"1248635467769118721","1248635784896434182","232268199","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",48,FALSE,FALSE,NA,NA
"38","Holding a briefing with updates on #Coronavirus. WATCH LIVE: https://t.co/dhwp2hEUIk",FALSE,1703,NA,2020-04-10 15:34:28,FALSE,NA,"1248635467769118721",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","NYGovCuomo",542,FALSE,FALSE,NA,NA
"39","I will be giving my daily #Coronavirus briefing at 11:30AM ET. Watch here: https://t.co/Fq5qEF73TB",FALSE,1907,NA,2020-04-10 14:40:40,FALSE,NA,"1248621927398133771",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",363,FALSE,FALSE,NA,NA
"40","Thank you to the @MTA heroes who are doing their jobs each and every day. They should be proud. I know we are proud… https://t.co/9SKNWoidmZ",FALSE,5019,NA,2020-04-10 14:06:33,TRUE,NA,"1248613342622527492",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",710,FALSE,FALSE,NA,NA
"41","New Yorkers will do what we have to do.

The next phase of this pandemic is not preordained.

It all depends on what we do next.

#StayHome",FALSE,15392,NA,2020-04-10 12:44:59,FALSE,NA,"1248592816344895489",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",2170,FALSE,FALSE,NA,NA
"42","Landmarks across the state are lit blue tonight in support of all the healthcare workers and all the essential pers… https://t.co/lV2kCvdVIU",FALSE,33361,NA,2020-04-10 02:03:09,TRUE,NA,"1248431290614857734",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",6214,FALSE,FALSE,NA,NA
"43","The generations that stormed the beaches and marched for civil rights are most at risk right now.

They're asking y… https://t.co/sAj8LMARyK",FALSE,14877,NA,2020-04-09 20:51:28,TRUE,NA,"1248352853653164035",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NYGovCuomo",3616,FALSE,FALSE,NA,NA
"44","We must keep the curve flat.

Keep staying home.
Keep practicing social distancing. 
Keep protecting others.

Now i… https://t.co/0zaQQWMcIh",FALSE,37811,NA,2020-04-09 19:21:17,TRUE,NA,"1248330157376647170",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",7357,FALSE,FALSE,NA,NA
"45","The 1918 Spanish flu hit in 3 waves.

We are only in the first wave.

We can’t assume that because we are seeing so… https://t.co/0l8jhmkPMD",FALSE,66275,NA,2020-04-09 15:54:28,TRUE,NA,"1248278113068384257",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",13762,FALSE,FALSE,NA,NA
"46","We lost 799 New Yorkers yesterday to this invisible enemy.

We mourn them and stand in support of their families an… https://t.co/yV7mHlHzdP",FALSE,25134,NA,2020-04-09 15:49:10,TRUE,NA,"1248276780433227777",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",4919,FALSE,FALSE,NA,NA
"47","Our healthcare system has done a phenomenal job increasing capacity and saving lives. 

Thanks to social distancing… https://t.co/D3fRbzH5Oa",FALSE,6539,NA,2020-04-09 15:44:20,TRUE,NA,"1248275560960266241",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",892,FALSE,FALSE,NA,NA
"48","Closed captioning and ASL interpretation is available at https://t.co/YjzHnxHPvN",FALSE,249,"NYGovCuomo",2020-04-09 15:38:29,FALSE,"1248273348485771264","1248274090835795968","232268199","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",44,FALSE,FALSE,NA,NA
"49","Holding a briefing with updates on #Coronavirus. WATCH LIVE: https://t.co/gHnCdk6iR2",FALSE,1624,NA,2020-04-09 15:35:32,FALSE,NA,"1248273348485771264",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","NYGovCuomo",492,FALSE,FALSE,NA,NA
"50","I will be giving my daily #Coronavirus briefing at 11:30AM ET. Watch here: https://t.co/Fq5qEEPt23",FALSE,2245,NA,2020-04-09 14:22:46,FALSE,NA,"1248255037165502464",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",423,FALSE,FALSE,NA,NA
"51","Messages on a shipment of ventilators from California.

Thank you to the people of California and Gov. Newsom.

We… https://t.co/iav0pHJEQf",FALSE,50466,NA,2020-04-09 14:16:35,TRUE,NA,"1248253480785108994",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",7278,FALSE,FALSE,NA,NA
"52",".@Delta, @JetBlue, @SouthwestAir and @United are offering free travel to New York for COVID-19 medical workers. 

T… https://t.co/zvQ7nNfqSR",FALSE,23285,NA,2020-04-09 00:54:34,TRUE,NA,"1248051645071740930",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",3645,FALSE,FALSE,NA,NA
"53","To all those celebrating, best wishes for a happy and meaningful Passover. https://t.co/5Mznp9MHrd",FALSE,5975,NA,2020-04-08 19:47:49,FALSE,NA,"1247974447241453569",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NYGovCuomo",872,FALSE,FALSE,NA,NA
"54","The best way to stop the spread of #COVID19 is to stay home. It will save lives. I want to protect my mother, Matil… https://t.co/cbPvZhS6ML",FALSE,15008,NA,2020-04-08 16:51:41,TRUE,NA,"1247930122784706562",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",1509,FALSE,FALSE,NA,NA
"55","#BREAKING: All New Yorkers will be able to vote absentee on the June 23rd primaries.

New Yorkers shouldn't have to… https://t.co/z8bYS8jWxw",FALSE,144237,NA,2020-04-08 16:50:54,TRUE,NA,"1247929924498923524",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",25863,FALSE,FALSE,NA,NA
"56","I am directing flags be flown at half-mast in honor of those we have lost to this vicious virus.

They are in our h… https://t.co/pHYwxg53S9",FALSE,10817,NA,2020-04-08 16:44:05,TRUE,NA,"1247928209687162889",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",2134,FALSE,FALSE,NA,NA
"57","Tragically, New York lost an additional 779 people yesterday to COVID-19.

They are more than just a statistic.

Ev… https://t.co/vXkWbC7EIx",FALSE,15318,NA,2020-04-08 16:42:10,TRUE,NA,"1247927730517262337",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",2629,FALSE,FALSE,NA,NA
"58","Social distancing is working. We took dramatic action. It is flattening the curve.

What we are all doing is having… https://t.co/r4EmnjnBUH",FALSE,43762,NA,2020-04-08 16:37:25,TRUE,NA,"1247926534993842177",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",6834,FALSE,FALSE,NA,NA
"59","Closed captioning and ASL interpretation is available at https://t.co/YjzHnxHPvN",FALSE,182,"NYGovCuomo",2020-04-08 16:35:03,FALSE,"1247925681549234176","1247925939553665029","232268199","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",43,FALSE,FALSE,NA,NA
"60","Holding a briefing with updates on #Coronavirus. WATCH LIVE: https://t.co/YI9xA6tyyn",FALSE,1378,NA,2020-04-08 16:34:02,FALSE,NA,"1247925681549234176",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","NYGovCuomo",462,FALSE,FALSE,NA,NA
"61","Thank you @BernieSanders for your passion and service in the best interests of our nation. We know you will continu… https://t.co/WYXxjquWsW",FALSE,33517,NA,2020-04-08 16:24:17,TRUE,NA,"1247923226254159872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",3595,FALSE,FALSE,NA,NA
"62","UPDATE: I will be giving my #Coronavirus briefing at *12:30PM* ET. https://t.co/AsZ974HEHF",FALSE,3260,NA,2020-04-08 15:30:25,FALSE,NA,"1247909670465011713",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",576,FALSE,FALSE,NA,NA
"63","I will be giving my daily #Coronavirus briefing at 11:30AM ET. Watch here: https://t.co/Fq5qEF73TB",FALSE,1492,NA,2020-04-08 14:38:32,FALSE,NA,"1247896616813527043",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",363,FALSE,FALSE,NA,NA
"64","For those celebrating, #Passover will be different this year.

Seders and celebrations should be held with only imm… https://t.co/OO2JDWbpG9",FALSE,10756,NA,2020-04-07 23:56:35,TRUE,NA,"1247674664194801666",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",1242,FALSE,FALSE,NA,NA
"65","Calling into @OutFrontCNN with Erin Burnett on @CNN 
in a few minutes. Tune in.",FALSE,2732,NA,2020-04-07 23:03:02,FALSE,NA,"1247661188852396034",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",251,FALSE,FALSE,NA,NA
"66","The death toll of this pandemic is more than a number.

Behind the numbers are human beings and families and grief… https://t.co/u0jckpDpyV",FALSE,19217,NA,2020-04-07 21:36:18,TRUE,NA,"1247639362591797248",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NYGovCuomo",4452,FALSE,FALSE,NA,NA
"67","We are using every tool we can to remind people to #StayHome.

Starting this week, @FreshDirect will include a pape… https://t.co/mZE8DKqy6d",FALSE,1795,NA,2020-04-07 19:18:03,TRUE,NA,"1247604571993714691",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",402,FALSE,FALSE,NA,NA
"68","It's all about testing, testing, testing.

We have done more testing than any state in the nation, but we need to d… https://t.co/emKYp7C96g",FALSE,11810,NA,2020-04-07 16:17:14,TRUE,NA,"1247559065200451589",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",2831,FALSE,FALSE,NA,NA
"69","Social distancing is working.

We need to vigorously maintain it.

Lives depend on it.

This is not about any one o… https://t.co/twVX9pLVPN",FALSE,46708,NA,2020-04-07 15:27:50,TRUE,NA,"1247546632821977088",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",8605,FALSE,FALSE,NA,NA
"70","We cannot restart life as we knew it without testing. 

Testing is the essential component.

The NYS Dept of Health… https://t.co/ir0lFf0Uz2",FALSE,24225,NA,2020-04-07 15:19:23,TRUE,NA,"1247544507845017600",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",4703,FALSE,FALSE,NA,NA
"71","For our hospitals to function they need three things: Beds, Staff, Equipment.

Every day we are balancing the needs… https://t.co/G4oDrYgflI",FALSE,2863,NA,2020-04-07 15:16:27,TRUE,NA,"1247543770989514754",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",392,FALSE,FALSE,NA,NA
"72","Our hearts go out to New Jersey.

After NY, New Jersey has lost the most people to this vicious virus.

Our thought… https://t.co/QyS2O1BSNe",FALSE,28546,NA,2020-04-07 15:14:00,TRUE,NA,"1247543150715064320",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",4453,FALSE,FALSE,NA,NA
"73","Closed captioning and ASL interpretation is available at https://t.co/YjzHnxqe7d",FALSE,247,"NYGovCuomo",2020-04-07 15:09:12,FALSE,"1247540403743514624","1247541946442113026","232268199","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",46,FALSE,FALSE,NA,NA
"74","Holding a briefing with updates on #Coronavirus. WATCH LIVE: https://t.co/fTaNJGMaPn",FALSE,1583,NA,2020-04-07 15:03:05,FALSE,NA,"1247540403743514624",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","NYGovCuomo",515,FALSE,FALSE,NA,NA
"75","I will be giving my daily #Coronavirus briefing at 11:00AM ET. Stay tuned.",FALSE,4418,NA,2020-04-07 13:56:48,FALSE,NA,"1247523726360326145",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",524,FALSE,FALSE,NA,NA
"76","Now is not the time to be reckless.

Now is not the time to play Frisbee with your friends in the park.

Now is not… https://t.co/bCJy16As3y",FALSE,12481,NA,2020-04-07 00:39:44,TRUE,NA,"1247323134325374983",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NYGovCuomo",2638,FALSE,FALSE,NA,NA
"77","#BREAKING: I spoke to the president and he has agreed to our request to treat  #COVID patients on the USNS Comfort.… https://t.co/br8x44K7tO",FALSE,48683,NA,2020-04-06 21:29:25,TRUE,NA,"1247275243321737216",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",6071,FALSE,FALSE,NA,NA
"78","Will be appearing on @MSNBC now. Tune in.",FALSE,4081,NA,2020-04-06 21:21:59,FALSE,NA,"1247273371085279233",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",398,FALSE,FALSE,NA,NA
"79","Thank you to NY's transit workers who are showing up every day.

Because of them, doctors, nurses, first responders… https://t.co/QEeHhRNdvK",FALSE,9171,NA,2020-04-06 20:02:37,TRUE,NA,"1247253398497484802",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",1405,FALSE,FALSE,NA,NA
"80","No podemos pasar por alto el trauma emocional extremo que sienten ahora muchas personas.
 
Agradecemos a @Headspace… https://t.co/JnndVLJqhu",FALSE,483,"NYGovCuomo",2020-04-06 19:13:21,TRUE,"1247199178192826371","1247240997907595265","232268199","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",132,FALSE,FALSE,NA,NA
"81","Today I am increasing the maximum fine for violations of state-mandated social distancing rules from $500 to $1000.… https://t.co/kk7Gq41FDg",FALSE,36793,NA,2020-04-06 16:34:25,TRUE,NA,"1247201001175687170",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",7568,FALSE,FALSE,NA,NA
"82","We can’t underestimate the extreme emotional trauma that many people are feeling now.

We thank @Headspace for thei… https://t.co/TZcMSpFoIy",FALSE,5676,NA,2020-04-06 16:27:10,TRUE,NA,"1247199178192826371",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",1636,FALSE,FALSE,NA,NA
"83","New York on PAUSE is extended through April 29.

Schools and non-essential businesses will remain closed.

Public h… https://t.co/U8lLvkp4oA",FALSE,29429,NA,2020-04-06 16:24:21,TRUE,NA,"1247198469531541507",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NYGovCuomo",5979,FALSE,FALSE,NA,NA
